ID,Name,Current Own%
1,Fábio Vieira,0.1
2,G.Jesus,2.2
3,Gabriel,12.8
4,Havertz,12.9
5,Hein,0.1
6,J.Timber,1.0
7,Jorginho,0.3
8,Kiwior,0.2
9,Martinelli,3.2
10,Nelson,0.0
11,Nketiah,0.4
12,Nwaneri,0.2
13,Ødegaard,16.3
14,Ramsdale,0.8
15,Raya,25.1
16,Rice,6.2
17,Saka,29.9
18,Saliba,40.7
20,Thomas,0.1
21,Tierney,0.1
22,Tomiyasu,0.2
23,Trossard,2.5
24,White,11.1
25,Zinchenko,2.4
578,Calafiori,2.7
597,Lewis-Skelly,0.0
26,Alex Moreno,0.7
27,Archer,1.3
28,Bailey,4.0
29,Barkley,0.9
30,Barrenechea,0.1
31,Buendia,0.2
32,Cash,3.0
33,Dendoncker,0.9
34,Diaby,0.1
35,Diego Carlos,0.6
36,Digne,2.2
37,Dobbin,0.0
38,Duran,0.3
39,Gauci,0.4
40,Hause,0.5
41,Iling Jr,0.1
42,Kamara,0.0
43,Kesler-Hayden,0.1
44,Konsa,14.0
45,Maatsen,4.1
46,Marschall,0.0
47,Martinez,13.0
48,McGinn,2.3
49,Mings,0.1
50,Nedeljkovic,0.3
51,Olsen,0.2
52,Pau,1.5
53,Ramsey,0.3
54,Rogers,8.3
55,Sinisalo,0.0
56,Sousa,0.4
57,Tielemans,0.6
58,Watkins,39.7
233,Onana,0.9
569,Jaden,0.1
598,Bogarde,0.0
59,Aarons,0.3
60,Adams,0.0
61,Anthony,0.5
62,Brooks,0.0
63,Christie,0.3
64,Cook,0.1
65,Enes Ünal,0.1
66,Faivre,0.0
67,H.Traorè,0.2
68,Hill,0.4
69,Jebbison,1.4
70,Kerkez,0.5
71,Kluivert,0.5
72,Mepham,0.1
73,Neto,2.4
74,O.Dango,0.0
75,Paulsen,0.1
76,Philip,0.1
77,Scott,0.1
78,Semenyo,1.2
79,Senesi,1.1
80,Sinisterra,0.2
81,Smith,0.2
83,Tavernier,0.2
84,Travers,0.2
85,Zabarnyi,0.5
580,Huijsen,0.1
592,J.Araujo,0.1
599,Dennis,0.0
86,Ajer,0.4
87,Brierley,0.1
88,Collins,0.4
89,Damsgaard,0.1
90,Dasilva,0.0
91,Flekken,12.4
92,Henry,0.2
93,Hickey,0.1
94,Janelt,0.2
95,Jensen,0.2
96,Ji-soo,0.3
97,Konak,0.1
98,Lewis-Potter,0.1
99,Mbeumo,4.9
100,Mee,1.0
101,Nørgaard,0.1
102,Onyeka,0.0
103,Peart-Harris,0.1
104,Pinnock,0.5
105,Roerslev,0.1
106,Schade,0.1
107,Thiago,0.1
108,Toney,9.7
109,Valdimarsson,3.9
110,Wissa,2.7
111,Yarmoliuk,3.0
112,Zanka,0.1
314,Carvalho,1.5
602,Trevitt,0.0
113,Adingra,0.5
114,Baker-Boaitey,0.0
115,Baleba,0.0
116,Barco,23.0
118,Cozier-Duberry,0.2
119,Dahoud,0.0
120,Dunk,4.2
121,Enciso,0.1
122,Estupiñan,0.1
123,Ferguson,0.1
124,Gilmour,0.2
125,Gross,0.2
126,Hinshelwood,0.0
127,I.Osman,0.0
128,Igor,0.1
129,João Pedro,18.9
130,Kozlowski,0.0
131,Lamptey,0.4
132,March,0.0
133,Mazilu,0.0
134,Milner,0.1
135,Minteh,1.5
136,Mitoma,1.8
137,Moder,0.4
138,O’Mahony,0.5
139,Offiah,0.2
140,Peupion,0.1
141,Sarmiento,0.0
142,Steele,0.6
143,Undav,0.0
144,Van Hecke,0.3
145,Veltman,0.2
146,Verbruggen,0.8
147,Webster,0.1
148,Welbeck,0.7
149,Wieffer,0.1
595,Gruda,0.0
600,Ayari,0.0
601,Moran,0.0
150,Andrey Santos,0.0
151,Ângelo,0.4
152,Arrizabalaga,0.3
153,B.Badiashile,0.2
154,Bergström,0.2
155,Bettinelli,0.4
156,Broja,0.1
157,Caicedo,0.7
158,Casadei,0.1
159,Chalobah,0.2
160,Chilwell,0.9
161,Chukwuemeka,0.1
162,Colwill,0.8
163,Cucurella,6.2
164,D.D.Fofana,0.1
165,Deivid,0.1
166,Dewsbury-Hall,0.3
167,Disasi,0.5
168,Enzo,1.3
169,Gallagher,1.0
170,Gilchrist,0.2
171,Gusto,3.1
172,James,0.1
173,Kellyman,0.0
174,Lavia,0.9
175,Lukaku,0.6
176,M.Sarr,0.0
177,Madueke,0.5
178,Marc Guiu,0.8
179,Mudryk,0.4
180,N.Jackson,2.1
181,Nkunku,17.0
182,Palmer,39.9
183,Petrović,1.0
184,Renato Veiga,0.1
185,Sánchez,2.9
186,Sterling,2.4
187,Tosin,0.3
188,Ugochukwu,0.3
189,W.Fofana,0.3
560,Neto,1.3
575,Wiley,0.1
581,Jørgensen,0.4
190,Ahamada,0.4
191,Andersen,21.4
192,J.Ayew,0.5
193,C.Doucouré,0.1
194,C.Richards,0.2
195,Chadi Riad,0.2
196,Clyne,0.1
197,Ebiowei,0.0
198,Edouard,0.8
199,Eze,34.7
200,Guéhi,8.0
201,Henderson,14.9
202,Holding,0.1
203,Hughes,0.0
204,Johnstone,0.6
205,Kamada,0.6
206,Lerma,0.1
207,Mateta,6.8
208,M.França,0.2
209,Matthews,0.8
210,Mitchell,2.6
211,Muñoz,4.2
212,Ozoh,0.0
213,Rak-Sakyi,0.3
214,Schlupp,0.1
215,Ward,0.2
216,Wharton,0.5
585,I.Sarr,0.4
217,A.Doucoure,0.5
218,Beto,0.4
219,Branthwaite,4.5
220,Calvert-Lewin,1.9
221,Coleman,0.1
222,Gana,0.1
223,Garner,0.0
224,Harrison,0.2
225,Holgate,0.5
226,Iroegbunam,0.2
227,J.Virginia,0.7
228,Keane,2.1
229,Maupay,1.7
230,McNeil,0.9
231,Mykolenko,10.7
232,Ndiaye,0.2
234,Patterson,0.1
235,Pickford,17.5
236,Tarkowski,2.2
237,Y. Chermiti,0.0
238,Young,0.2
577,Lindstrøm,0.2
582,O'Brien,0.3
603,Armstrong,0.0
19,Smith Rowe,14.8
239,Adama,0.2
240,Andreas,4.3
241,Bassey,0.3
242,Benda,0.4
243,Cairney,0.0
244,Castagne,3.2
245,Diop,0.2
246,Harris,0.0
247,Iwobi,0.5
248,Leno,2.7
249,Lukić,0.0
250,Mbabu,0.5
251,Muniz,7.0
252,Raúl,0.5
